ymdhm,수위,유량,해발표고
2022-06-29 0:00,1.64,690.47,3.39
2022-06-29 0:10,1.64,690.47,3.39
2022-06-29 0:20,1.62,673.2,3.37
2022-06-29 0:30,1.62,673.2,3.37
2022-06-29 0:40,1.61,664.64,3.36
2022-06-29 0:50,1.6,656.15,3.35
2022-06-29 1:00,1.6,656.15,3.35
2022-06-29 1:10,1.6,656.15,3.35
2022-06-29 1:20,1.59,647.71,3.34
2022-06-29 1:30,1.59,647.71,3.34
2022-06-29 1:40,1.58,639.32,3.33
2022-06-29 1:50,1.58,639.32,3.33
2022-06-29 2:00,1.58,639.32,3.33
2022-06-29 2:10,1.57,631,3.32
2022-06-29 2:20,1.57,631,3.32
2022-06-29 2:30,1.57,631,3.32
2022-06-29 2:40,1.58,639.32,3.33
2022-06-29 2:50,1.57,631,3.32
2022-06-29 3:00,1.58,639.32,3.33
2022-06-29 3:10,1.58,639.32,3.33
2022-06-29 3:20,1.58,639.32,3.33
2022-06-29 3:30,1.57,631,3.32
2022-06-29 3:40,1.57,631,3.32
2022-06-29 3:50,1.57,631,3.32
2022-06-29 4:00,1.58,639.32,3.33
2022-06-29 4:10,1.58,639.32,3.33
2022-06-29 4:20,1.58,639.32,3.33
2022-06-29 4:30,1.58,639.32,3.33
2022-06-29 4:40,1.59,647.71,3.34
2022-06-29 4:50,1.59,647.71,3.34
2022-06-29 5:00,1.59,647.71,3.34
2022-06-29 5:10,1.59,647.71,3.34
2022-06-29 5:20,1.59,647.71,3.34
2022-06-29 5:30,1.59,647.71,3.34
2022-06-29 5:40,1.59,647.71,3.34
2022-06-29 5:50,1.59,647.71,3.34
2022-06-29 6:00,1.6,656.15,3.35
2022-06-29 6:10,1.6,656.15,3.35
2022-06-29 6:20,1.59,647.71,3.34
2022-06-29 6:30,1.59,647.71,3.34
2022-06-29 6:40,1.59,647.71,3.34
2022-06-29 6:50,1.59,647.71,3.34
2022-06-29 7:00,1.72,761.81,3.47
2022-06-29 7:10,1.94,976.66,3.69
2022-06-29 7:20,2.26,1338.31,4.01
2022-06-29 7:30,2.45,1580.78,4.2
2022-06-29 7:40,2.59,1772.75,4.34
2022-06-29 7:50,2.72,1961.15,4.47
2022-06-29 8:00,2.85,2159.35,4.6
2022-06-29 8:10,2.96,2334.72,4.71
2022-06-29 8:20,3.05,2483.45,4.8
2022-06-29 8:30,3.12,2602.39,4.87
2022-06-29 8:40,3.18,2706.63,4.93
2022-06-29 8:50,3.22,2777.28,4.97
2022-06-29 9:00,3.2,2741.84,4.95
2022-06-29 9:10,3.19,2724.2,4.94
2022-06-29 9:20,3.15,2654.25,4.9
2022-06-29 9:30,3.11,2585.23,4.86
2022-06-29 9:40,3.04,2466.69,4.79
2022-06-29 9:50,2.97,2351.01,4.72
2022-06-29 10:00,2.9,2238.19,4.65
2022-06-29 10:10,2.84,2143.75,4.59
2022-06-29 10:20,2.78,2051.41,4.53
2022-06-29 10:30,2.71,1946.31,4.46
2022-06-29 10:40,2.67,1887.53,4.42
2022-06-29 10:50,2.63,1829.68,4.38
2022-06-29 11:00,2.57,1744.63,4.32
2022-06-29 11:10,2.53,1689.09,4.28
2022-06-29 11:20,2.47,1607.52,4.22
2022-06-29 11:30,2.43,1554.28,4.18
2022-06-29 11:40,2.39,1501.97,4.14
2022-06-29 11:50,2.34,1437.87,4.09
2022-06-29 12:00,2.3,1387.63,4.05
2022-06-29 12:10,2.26,1338.31,4.01
2022-06-29 12:20,2.22,1289.9,3.97
2022-06-29 12:30,2.19,1254.2,3.94
2022-06-29 12:40,2.14,1195.84,3.89
2022-06-29 12:50,2.12,1172.89,3.87
2022-06-29 13:00,2.1,1150.18,3.85
2022-06-29 13:10,2.06,1105.43,3.81
2022-06-29 13:20,2.03,1072.47,3.78
2022-06-29 13:30,2.01,1050.78,3.76
2022-06-29 13:40,2,1040.02,3.75
2022-06-29 13:50,1.97,1008.08,3.72
2022-06-29 14:00,1.95,987.08,3.7
2022-06-29 14:10,1.92,955.99,3.67
2022-06-29 14:20,1.91,945.75,3.66
2022-06-29 14:30,1.88,915.35,3.63
2022-06-29 14:40,1.87,905.32,3.62
2022-06-29 14:50,1.85,885.45,3.6
2022-06-29 15:00,1.82,856.07,3.57
2022-06-29 15:10,1.81,846.39,3.56
2022-06-29 15:20,1.8,836.77,3.55
2022-06-29 15:30,1.77,808.24,3.52
2022-06-29 15:40,1.76,798.84,3.51
2022-06-29 15:50,1.74,780.21,3.49
2022-06-29 16:00,1.73,770.98,3.48
2022-06-29 16:10,1.71,752.7,3.46
2022-06-29 16:20,1.7,743.64,3.45
2022-06-29 16:30,1.69,734.64,3.44
2022-06-29 16:40,1.68,725.69,3.43
2022-06-29 16:50,1.68,725.69,3.43
2022-06-29 17:00,1.67,716.8,3.42
2022-06-29 17:10,1.66,707.97,3.41
2022-06-29 17:20,1.66,707.97,3.41
2022-06-29 17:30,1.64,690.47,3.39
2022-06-29 17:40,1.63,681.8,3.38
2022-06-29 17:50,1.62,673.2,3.37
2022-06-29 18:00,1.62,673.2,3.37
2022-06-29 18:10,1.61,664.64,3.36
2022-06-29 18:20,1.6,656.15,3.35
2022-06-29 18:30,1.6,656.15,3.35
2022-06-29 18:40,1.59,647.71,3.34
2022-06-29 18:50,1.59,647.71,3.34
2022-06-29 19:00,1.58,639.32,3.33
2022-06-29 19:10,1.57,631,3.32
2022-06-29 19:20,1.57,631,3.32
2022-06-29 19:30,1.57,631,3.32
2022-06-29 19:40,1.57,631,3.32
2022-06-29 19:50,1.62,673.2,3.37
2022-06-29 20:00,1.76,798.84,3.51
2022-06-29 20:10,1.94,976.66,3.69
2022-06-29 20:20,2.1,1150.18,3.85
2022-06-29 20:30,2.19,1254.2,3.94
2022-06-29 20:40,2.31,1400.11,4.06
2022-06-29 20:50,2.36,1463.34,4.11
2022-06-29 21:00,2.4,1514.96,4.15
2022-06-29 21:10,2.41,1528.01,4.16
2022-06-29 21:20,2.39,1501.97,4.14
2022-06-29 21:30,2.38,1489.04,4.13
2022-06-29 21:40,2.34,1437.87,4.09
2022-06-29 21:50,2.3,1387.63,4.05
2022-06-29 22:00,2.25,1326.12,4
2022-06-29 22:10,2.2,1266.04,3.95
2022-06-29 22:20,2.16,1219.01,3.91
2022-06-29 22:30,2.14,1195.84,3.89
2022-06-29 22:40,2.13,1184.34,3.88
2022-06-29 22:50,2.13,1184.34,3.88
2022-06-29 23:00,2.13,1184.34,3.88
2022-06-29 23:10,2.15,1207.39,3.9
2022-06-29 23:20,2.16,1219.01,3.91
2022-06-29 23:30,2.16,1219.01,3.91
2022-06-29 23:40,2.15,1207.39,3.9
2022-06-29 23:50,2.16,1219.01,3.91
2022-06-30 0:00,2.15,1207.39,3.9
2022-06-30 0:10,2.15,1207.39,3.9
2022-06-30 0:20,2.14,1195.84,3.89
2022-06-30 0:30,2.14,1195.84,3.89
2022-06-30 0:40,2.13,1184.34,3.88
2022-06-30 0:50,2.13,1184.34,3.88
2022-06-30 1:00,2.12,1172.89,3.87
2022-06-30 1:10,2.12,1172.89,3.87
2022-06-30 1:20,2.12,1172.89,3.87
2022-06-30 1:30,2.12,1172.89,3.87
2022-06-30 1:40,2.13,1184.34,3.88
2022-06-30 1:50,2.12,1172.89,3.87
2022-06-30 2:00,2.13,1184.34,3.88
2022-06-30 2:10,2.14,1195.84,3.89
2022-06-30 2:20,2.14,1195.84,3.89
2022-06-30 2:30,2.18,1242.41,3.93
2022-06-30 2:40,2.19,1254.2,3.94
2022-06-30 2:50,2.19,1254.2,3.94
2022-06-30 3:00,2.2,1266.04,3.95
2022-06-30 3:10,2.23,1301.92,3.98
2022-06-30 3:20,2.24,1313.99,3.99
2022-06-30 3:30,2.26,1338.31,4.01
2022-06-30 3:40,2.28,1362.85,4.03
2022-06-30 3:50,2.29,1375.21,4.04
2022-06-30 4:00,2.3,1387.63,4.05
2022-06-30 4:10,2.32,1412.64,4.07
2022-06-30 4:20,2.34,1437.87,4.09
2022-06-30 4:30,2.35,1450.58,4.1
2022-06-30 4:40,2.35,1450.58,4.1
2022-06-30 4:50,2.37,1476.16,4.12
2022-06-30 5:00,2.4,1514.96,4.15
2022-06-30 5:10,2.44,1567.5,4.19
2022-06-30 5:20,2.47,1607.52,4.22
2022-06-30 5:30,2.5,1648.05,4.25
2022-06-30 5:40,2.55,1716.75,4.3
2022-06-30 5:50,2.6,1786.9,4.35
2022-06-30 6:00,2.64,1844.06,4.39
2022-06-30 6:10,2.69,1916.81,4.44
2022-06-30 6:20,2.73,1976.05,4.48
2022-06-30 6:30,2.8,2081.96,4.55
2022-06-30 6:40,2.85,2159.35,4.6
2022-06-30 6:50,2.89,2222.3,4.64
2022-06-30 7:00,2.93,2286.19,4.68
2022-06-30 7:10,2.99,2383.77,4.74
2022-06-30 7:20,3.06,2500.27,4.81
2022-06-30 7:30,3.14,2636.9,4.89
2022-06-30 7:40,3.3,2921.41,5.05
2022-06-30 7:50,3.53,3356.69,5.28
2022-06-30 8:00,3.77,3844.09,5.52
2022-06-30 8:10,3.98,4298.48,5.73
2022-06-30 8:20,4.16,4708.75,5.91
2022-06-30 8:30,4.36,5187.19,6.11
2022-06-30 8:40,4.52,5587.1,6.27
2022-06-30 8:50,4.66,5949.56,6.41
2022-06-30 9:00,4.75,6188.76,6.5
2022-06-30 9:10,4.88,6542.84,6.63
2022-06-30 9:20,5.01,6907.05,6.76
2022-06-30 9:30,5.1,7165.14,6.85
2022-06-30 9:40,5.17,7369.25,6.92
2022-06-30 9:50,5.24,7576.3,6.99
2022-06-30 10:00,5.31,7786.31,7.06
2022-06-30 10:10,5.37,7968.66,7.12
2022-06-30 10:20,5.45,8215.18,7.2
