ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00:00,279.78682549331916,277.4177001589887,274.76922805546167,269.50724952928476
2022-06-01 00:10:00,280.99944739890236,276.2082930881252,273.5305063179363,267.6436449443367
2022-06-01 00:20:00,282.9495518844347,276.61643538951404,273.37068562791006,264.98874494147043
2022-06-01 00:30:00,285.4145053874227,277.47516161179027,273.6780691344949,261.55614224822017
2022-06-01 00:40:00,286.1470973707817,278.02017379243284,273.9327829463191,258.8349416268734
2022-06-01 00:50:00,284.14175021042234,278.13188153299603,273.8792149925946,257.7416025258854
2022-06-01 01:00:00,283.894308939195,278.29735725046095,273.17204121904155,257.4089044762331
2022-06-01 01:10:00,283.42301268025665,278.09535793337034,273.21254942568555,257.8184872862534
2022-06-01 01:20:00,281.1335676546336,277.04454380288774,272.8072473924054,257.9279896887647
2022-06-01 01:30:00,279.12550819014456,275.7172740472875,271.75880259073506,259.9715680491609
2022-06-01 01:40:00,277.67444935545126,274.6482165082117,271.3382588423336,259.6726743530429
2022-06-01 01:50:00,275.77555961753114,273.43562973367347,270.6979470936232,261.8916298532952
2022-06-01 02:00:00,274.30555135684205,273.5740530216585,270.8480747315875,262.1691056801398
2022-06-01 02:10:00,274.3834640340381,272.8422175648682,269.2015857111653,261.56685644259795
2022-06-01 02:20:00,274.566928744622,273.0938525255123,270.18645563326896,261.4242365452858
2022-06-01 02:30:00,275.18392676095937,271.9163272817782,268.96761742086545,261.506854305989
2022-06-01 02:40:00,275.50297311839427,272.20210981095624,268.750677737614,261.4215743243963
2022-06-01 02:50:00,275.8747491325424,272.11328905029404,268.9749800343586,260.2454281637117
2022-06-01 03:00:00,275.8779734447566,272.5724500519033,269.10312728257884,259.0801623696668
2022-06-01 03:10:00,276.4781891369489,271.86300826425025,268.63262438757175,257.88740188437714
2022-06-01 03:20:00,276.5575837972655,271.95946428670754,267.9619489686379,257.3857494715138
2022-06-01 03:30:00,276.80114951224533,271.9902764125723,267.5544429319229,255.02191941220497
2022-06-01 03:40:00,275.882607156491,272.1663614121957,267.7347913014321,254.60471272913225
2022-06-01 03:50:00,275.2647110628581,271.8050870938757,267.8298950706489,253.97961448130837
2022-06-01 04:00:00,274.7020716381534,271.85592017547344,266.8578242831943,254.3372350790168
2022-06-01 04:10:00,274.3422969207298,271.54994438354726,267.00742138681215,254.29278568394813
2022-06-01 04:20:00,273.03828335700865,270.7092995193321,265.8878076790247,254.40276954868347
2022-06-01 04:30:00,272.35007567086177,269.3637996201899,265.3604047258426,255.61978860607724
2022-06-01 04:40:00,272.7839227858382,269.6437872480806,265.4994811940639,256.15240555606937
2022-06-01 04:50:00,272.33260843846125,270.0947745709226,265.5505887399547,257.08735244659556
2022-06-01 05:00:00,271.98543428569144,270.360906543673,266.3980155403226,256.61928212579073
2022-06-01 05:10:00,271.3314885289619,269.43699250625605,265.86010251061964,255.35860867740186
2022-06-01 05:20:00,271.70007361394244,269.806878937572,265.8979443003737,254.39106474275883
2022-06-01 05:30:00,271.97962964966763,270.226381265194,265.045955421837,254.56607228764878
2022-06-01 05:40:00,270.8340375072792,269.96663850101083,264.2217192401594,253.24814780825687
2022-06-01 05:50:00,271.0320788242987,269.3023135040209,263.29827885484536,253.81267478841426
2022-06-01 06:00:00,271.7969526778155,269.0328807587931,263.3376477952231,253.59823081680858
2022-06-01 06:10:00,271.31549565249645,269.4583664776687,262.8408343639841,253.32459248982659
2022-06-01 06:20:00,269.5905447714779,269.834352645914,262.92920396561067,252.06075204725943
2022-06-01 06:30:00,271.79779479258195,269.89507042128736,262.84583894884366,252.50936260224728
2022-06-01 06:40:00,272.8698238510769,270.1854317391504,262.97552497277366,251.26623102295127
2022-06-01 06:50:00,273.4411696847049,270.2416257293171,263.0566444571277,251.4004892213709
